mean_sinr,mean_rsrp,mean_prb,mean_trust,total_ho,attacks_active,ho_triggers,mitigations,mean_throughput,mean_latency
11.41435062289658,-94.30289621303343,50.0295988363178,0.8408544039183989,3,0,3,0,183.2069670855877,20.2312212142252
11.43733764216546,-94.26841568413012,50.1445339326622,0.8408544039183989,6,0,3,0,188.92563590667046,20.2312212142252
11.38266984285437,-94.35041738309674,49.87119493610675,0.8408544039183989,9,0,3,0,194.6169708280976,20.2312212142252
11.43960608229679,-94.26501302393312,50.15587613331885,0.8408544039183989,12,0,3,0,200.33677386924603,20.2312212142252
11.3921470351665,-94.33620159462856,49.9185808976674,0.8408544039183989,16,0,4,0,206.03284738682927,20.2312212142252
11.374528608629044,-94.36262923443473,49.830488764980124,0.8408544039183989,19,0,3,0,211.72011169114379,20.2312212142252
11.320304228184776,-94.44396580510113,49.559366862758786,0.8408544039183989,23,0,4,0,217.38026380523615,20.2312212142252
11.317708134129006,-94.44785994618479,49.54638639247994,0.8408544039183989,26,0,3,0,223.03911787230072,20.2312212142252
11.239617400033056,-94.56499604732873,49.15593272200018,0.8408544039183989,29,0,3,0,228.65892657231723,20.2312212142252
11.294698863748721,-94.48237385175521,49.4313400405785,0.8408544039183989,32,0,3,0,234.30627600419157,20.2312212142252
11.252875586514504,-94.54510876760655,49.22222365440742,0.8408544039183989,35,0,3,0,239.93271379744883,20.2312212142252
11.259119963413342,-94.5357422022583,49.253445538901616,0.8408544039183989,38,0,3,0,245.5622737791555,20.2312212142252
11.228228617048535,-94.58207922180553,49.09898880707757,0.8408544039183989,41,0,3,0,251.17638808767978,20.2312212142252
11.241965696870205,-94.56147360207301,49.16767420618593,0.8408544039183989,44,0,3,0,256.7973709361149,20.2312212142252
11.25555977206911,-94.54108248927464,49.23564458218046,0.8408544039183989,47,0,3,0,262.4251508221494,20.2312212142252
11.27582621670492,-94.51068282232093,49.33697680535949,0.8408544039183989,50,0,3,0,268.06306393050187,20.2312212142252
11.32185055308978,-94.44164631774363,49.56709848728381,0.8408544039183989,53,0,3,0,273.72398920704677,20.2312212142252
11.273071685242826,-94.51481461951407,49.32320414804904,0.8408544039183989,57,0,4,0,279.3605250496682,20.2312212142252
11.267865009620664,-94.52262463294731,49.297170769938226,0.8408544039183989,60,0,3,0,284.9944575544785,20.2312212142252
11.25053682070604,-94.54861691631925,49.21052982536511,0.8408544039183989,63,0,3,0,290.61972596483156,20.2312212142252
11.200935567015975,-94.62301879685435,48.96252355691477,0.8408544039183989,66,0,3,0,296.22019374833957,20.2312212142252
11.234818799177347,-94.57219394861228,49.13193971772163,0.8408544039183989,69,0,3,0,301.8376031479282,20.2312212142252
11.226944964715983,-94.58400470030433,49.09257054541482,0.8408544039183989,74,0,5,0,307.4510756302862,20.2312212142252
11.269947918400874,-94.519500269777,49.307585313839276,0.8408544039183989,80,0,6,0,313.08604958948666,20.2312212142252
11.248937963970912,-94.55101520142195,49.202535541689464,0.8408544039183989,86,0,6,0,318.71051857147205,20.2312212142252
11.221538751629602,-94.59211401993393,49.0655394799829,0.8408544039183989,92,0,6,0,324.3212879472869,20.2312212142252
11.099120025458708,-94.77574210919026,48.45344584912843,0.8408544039183989,98,0,6,0,329.753318867827,20.2312212142252
11.112099367698754,-94.75627309583018,48.518342560328676,0.8408544039183989,104,0,6,0,335.1279137365038,20.2312212142252
11.075061532001426,-94.81182984937617,48.33315338184202,0.8408544039183989,110,0,6,0,340.39346137783485,20.2312212142252
11.02316694948785,-94.88967172314653,48.07368046927414,0.8408544039183989,116,0,6,0,345.5741474539932,20.2312212142252
11.016363248710524,-94.89987727431253,48.039661965387516,0.8408544039183989,122,0,6,0,350.7530695981309,20.2312212142252
10.980242013996838,-94.95405912638306,47.85905579181909,0.8408544039183989,128,0,6,0,355.7936627643027,20.2312212142252
10.9529132209453,-94.99505231596036,47.7224118265614,0.8408544039183989,134,0,6,0,360.5704102712005,20.2312212142252
10.843658106642067,-95.15893498741521,47.17613625504523,0.8408544039183989,140,0,6,0,365.09603446298587,20.2312212142252
10.757049834118744,-95.2888473962002,46.743094892428616,0.8408544039183989,146,0,6,0,369.32815023798634,20.2312212142252
10.743439664633092,-95.30926265042869,46.67504404500036,0.8408544039183989,152,0,6,0,373.5420052494481,20.2312212142252
10.738979006991718,-95.31595363689074,46.65274075679349,0.8408544039183989,157,0,5,0,377.75506897815444,20.2312212142252
10.746740113975166,-95.30431197641558,46.69154629171072,0.8408544039183989,163,0,6,0,381.9794635726519,20.2312212142252
10.782651781345782,-95.25044447535964,46.871104628563806,0.8408544039183989,169,0,6,0,386.0839697096426,20.2312212142252
10.778345199524649,-95.25690434809134,46.84957171945814,0.8408544039183989,175,0,6,0,390.02876349646573,20.2312212142252
10.72850923013685,-95.33165830217304,46.60039187251915,0.8408544039183989,182,0,7,0,393.62317518414966,20.2312212142252
10.788502488225651,-95.24166841503984,46.90035816296316,0.8408544039183989,188,0,6,0,397.2107147970507,20.2312212142252
10.866671542464687,-95.12441483368129,47.29120343415833,0.8408544039183989,195,0,7,0,400.83312640642015,20.2312212142252
10.761967701060593,-95.28147059578741,46.76768422713786,0.8408544039183989,202,0,7,0,404.3655458491591,20.2312212142252
10.746776355448533,-95.30425761420553,46.691727499077565,0.8408544039183989,209,0,7,0,407.70970048830037,20.2312212142252
10.799777287650416,-95.22475621590269,46.95673216008699,0.8408544039183989,216,0,7,0,410.9325440466053,20.2312212142252
10.809967329441198,-95.20947115321651,47.00768236904088,0.8408544039183989,224,0,8,0,414.0437844429027,20.2312212142252
10.920423237342112,-95.04378729136515,47.55996190854546,0.8408544039183989,231,0,7,0,417.13278503024526,20.2312212142252
10.91724889995258,-95.04854879744944,47.54409022159779,0.8408544039183989,239,0,8,0,420.00107020955437,20.2312212142252
10.87823755030434,-95.10706582192181,47.3490334733566,0.8408544039183989,247,0,8,0,422.79816637756886,20.2312212142252
10.017138687800923,-95.69748028309543,47.34156012659955,0.8408544039183989,258,3,11,0,425.1936987421782,20.2312212142252
10.251979975611412,-95.6264683513797,47.578266565651994,0.8408544039183989,268,0,10,3,427.42393750433877,20.2312212142252
10.276753982744827,-95.58930734067958,47.70213660131907,0.8408544039183989,277,0,9,0,429.73698026714004,20.2312212142252
10.230653010685204,-95.65845879876902,47.48299024044792,0.8408544039183989,286,0,9,0,432.0336706683933,20.2312212142252
10.258411636653774,-95.61682085981617,47.621818361603204,0.8408544039183989,296,0,10,0,434.3427514797054,20.2312212142252
10.302309664964161,-95.5509738173506,47.880967553619506,0.8408544039183989,305,0,9,0,436.5575304954212,20.2312212142252
10.306604485390396,-95.54453158671123,47.91089154811954,0.8408544039183989,314,0,9,0,438.66187756950785,20.2312212142252
10.324245814419628,-95.5180695931674,48.01290106183361,0.8408544039183989,323,0,9,0,440.66003822490876,20.2312212142252
10.39288833221251,-95.41510581647806,48.35832351303941,0.8408544039183989,332,0,9,0,442.5000347836578,20.2312212142252
10.361499308639111,-95.46218935183816,48.201378395172405,0.8408544039183989,341,0,9,0,444.3308213346572,20.2312212142252
10.390628183536629,-95.4184960394919,48.35187185141964,0.8408544039183989,350,0,9,0,446.1753253678989,20.2312212142252
10.35114334318724,-95.47772330001597,48.154447649672676,0.8408544039183989,359,0,9,0,447.9381149416388,20.2312212142252
10.404760885482855,-95.39729698657254,48.42253536115076,0.8408544039183989,368,0,9,0,449.7006515940764,20.2312212142252
10.325786636668346,-95.5157583597943,48.03246702388665,0.8408544039183989,377,0,9,0,451.35164689549305,20.2312212142252
10.287253496674579,-95.57355806978495,47.86466628772002,0.8408544039183989,385,0,8,0,452.8985513506587,20.2312212142252
10.315198996054443,-95.53163982071517,48.00439378461936,0.8408544039183989,393,0,8,0,454.4307918635456,20.2312212142252
10.36750360838171,-95.45318290222428,48.265916846255685,0.8408544039183989,402,0,9,0,455.93622001594895,20.2312212142252
10.39703246935552,-95.40888961076355,48.413561151124725,0.8408544039183989,410,0,8,0,457.40642023295413,20.2312212142252
