episode,total_reward,actor_loss,critic_loss
1,-2005.0,-0.02159669286837535,126.49720764160156
2,-1441.0,-0.018718383108664836,136.47549438476562
3,-1008.0,-0.01650747161225549,152.82785034179688
4,-661.0,-0.015286494711680072,142.082763671875
5,-35.0,-0.014888044114091567,172.89077758789062
6,117.0,-0.014721639570780098,209.95928955078125
7,445.0,-0.013233093594733094,195.87547302246094
8,594.0,-0.012728426538939987,241.1666717529297
9,533.0,-0.011889257285344814,250.7157440185547
10,525.0,-0.009228658330227648,209.49502563476562
11,996.0,-0.007054166776859867,327.6337890625
12,734.0,-0.00781241529953799,265.8812255859375
13,1124.0,-0.007566441565618983,325.6595764160156
14,1054.0,-0.0067128031181969815,322.7316589355469
15,928.0,-0.0062927680431000355,266.3662109375
16,1211.0,-0.005845326439677072,422.5760192871094
17,1077.0,-0.0047866200121851376,391.6561279296875
18,1327.0,-0.005565282015595585,406.44598388671875
19,1196.0,-0.005067655766781952,369.1275329589844
20,1246.0,-0.005326455242798797,338.3014831542969
21,1223.0,-0.005357966068134244,326.9891662597656
22,1355.0,-0.00499304206875552,300.4000549316406
23,1247.0,-0.0045362352726182765,311.474853515625
24,1416.0,-0.004900256886945239,416.1202697753906
25,1244.0,-0.004276570922229439,341.9167785644531
26,1101.0,-0.0047551839462747535,316.9222412109375
27,1421.0,-0.004343453046333577,404.7433776855469
28,1307.0,-0.004827380571181753,332.5292053222656
29,1122.0,-0.004834925286039444,287.61090087890625
30,1136.0,-0.005011826487524169,287.5270690917969
31,1491.0,-0.004539475260701563,368.2814025878906
32,1414.0,-0.004616384043142067,378.1486511230469
33,1209.0,-0.004399781136141557,295.5234680175781
34,1575.0,-0.0037634404080953182,392.8860168457031
35,1304.0,-0.004466532085124137,346.93719482421875
36,1348.0,-0.004713466877417106,368.0096130371094
37,1377.0,-0.0046134402385048035,291.7812194824219
38,1406.0,-0.004650560465441751,363.21722412109375
39,1359.0,-0.0037808974822317915,332.95843505859375
40,1335.0,-0.004150383897857475,388.5319519042969
41,1390.0,-0.005674462137644046,462.2991943359375
42,1461.0,-0.004458495473954827,399.13409423828125
43,1392.0,-0.005137798176812274,377.9449462890625
44,1429.0,-0.004018025580860142,317.2405090332031
45,1203.0,-0.004996926112133744,290.07958984375
46,1390.0,-0.004806085585317176,401.50146484375
47,1350.0,-0.004971663962351158,368.6490478515625
48,1540.0,-0.004382449771843052,378.31982421875
49,1435.0,-0.005118931119795889,432.5997619628906
50,1352.0,-0.003187289945864385,344.44256591796875
51,1272.0,-0.0038334342700961444,318.878662109375
52,1642.0,-0.004056311306028094,469.9705505371094
53,1461.0,-0.004162232142074832,349.05987548828125
54,1558.0,-0.004372499116081079,387.58392333984375
55,1460.0,-0.004051572672324255,355.60205078125
56,1376.0,-0.0035080316509785397,344.07183837890625
57,1298.0,-0.0036849225954418735,309.9734191894531
