episode,total_reward,actor_loss,critic_loss
1,-2613.0,-0.021431542234495282,131.97872924804688
2,-1550.0,-0.018763547064736485,150.3514862060547
3,-1301.0,-0.01809900693063225,133.47589111328125
4,-529.0,-0.01868553918653301,174.4304656982422
5,-548.0,-0.016217618149572184,161.6647491455078
6,17.0,-0.01538653631827661,196.03250122070312
7,145.0,-0.014148815052716859,183.08021545410156
8,453.0,-0.011939045058430306,220.2449951171875
9,788.0,-0.012630824398781573,267.8475341796875
10,737.0,-0.01030509448277631,260.1383361816406
11,1066.0,-0.010755874183295029,234.9672393798828
12,871.0,-0.007244795935028898,235.81857299804688
13,987.0,-0.006652255313903359,289.07611083984375
14,1021.0,-0.006594258560133832,258.6916809082031
15,1039.0,-0.005908193124923855,283.0784606933594
16,920.0,-0.005956180460218873,269.0622863769531
17,1103.0,-0.005713625528317477,297.9032287597656
18,1052.0,-0.006416435993742198,328.2779846191406
19,917.0,-0.006052573959875319,237.365966796875
20,1189.0,-0.00497601815732196,319.1028747558594
21,1080.0,-0.005456899446601581,254.31082153320312
22,948.0,-0.005306367700021448,240.84255981445312
23,1231.0,-0.0043217967613600194,326.34783935546875
24,950.0,-0.004520005758552413,218.3668975830078
25,1037.0,-0.004219134641711467,239.74728393554688
26,1046.0,-0.004239128617752742,278.3482971191406
27,1069.0,-0.004799868728566382,247.77462768554688
28,1169.0,-0.004632472305924499,252.51214599609375
29,1358.0,-0.004529623792872631,310.3537292480469
30,1137.0,-0.004711791180722814,355.1789855957031
31,1348.0,-0.003847191047887983,334.0943298339844
32,1021.0,-0.004106015810975805,239.6122283935547
33,1441.0,-0.004586675603474889,323.9696960449219
34,1173.0,-0.004208114382760998,286.06494140625
35,1283.0,-0.004581129768796798,386.7675476074219
36,1376.0,-0.004406331747304648,296.17657470703125
37,1337.0,-0.003981747136484566,338.2257080078125
38,1405.0,-0.0031883941701380536,389.6518859863281
39,1275.0,-0.003488133243601104,272.36474609375
40,1308.0,-0.0035868270996226265,402.0824890136719
41,1252.0,-0.00416420040918248,327.75994873046875
42,1273.0,-0.003635355512545045,395.5408020019531
43,1482.0,-0.004442251863240797,331.3104553222656
44,1330.0,-0.0037957756056649877,377.771240234375
45,1149.0,-0.0038074885856726076,269.3045349121094
46,1468.0,-0.003809646803087422,385.22723388671875
47,1440.0,-0.0039444330219079605,415.4869079589844
48,1348.0,-0.004078530527684572,302.07330322265625
49,1527.0,-0.0038969892484601587,404.8150329589844
50,1308.0,-0.004263800284076881,339.5452880859375
51,1582.0,-0.004465061140113643,428.6814880371094
52,1381.0,-0.0038524546627221362,289.8072204589844
53,1386.0,-0.003930379266551297,359.041259765625
54,1476.0,-0.004223112168671962,359.0011291503906
55,1532.0,-0.0036370661629397155,342.9705505371094
56,1567.0,-0.003772255182931466,446.5319519042969
57,1424.0,-0.0034673117687426774,362.37017822265625
58,1557.0,-0.00375564545018798,362.9329833984375
59,1408.0,-0.0035998400521098767,355.8528747558594
60,1554.0,-0.0033317085721396972,340.0099182128906
61,1360.0,-0.003422023811643677,408.15777587890625
62,1546.0,-0.0029219802111453775,359.8399658203125
63,1461.0,-0.003664684693961005,337.11712646484375
64,1448.0,-0.003154707168245555,427.3943786621094
65,1520.0,-0.0032067085890698115,352.9621887207031
66,1459.0,-0.0034593988093547523,335.1378479003906
67,1660.0,-0.003500761110834511,384.2668762207031
68,1398.0,-0.003982287444939304,358.20654296875
69,1564.0,-0.003605659184229028,355.8703308105469
70,1595.0,-0.0036529530895807382,367.31878662109375
71,1605.0,-0.004592857392188827,420.0778503417969
72,1429.0,-0.003917530129131462,335.7364807128906
73,1378.0,-0.004473971338094478,282.5050048828125
74,1485.0,-0.004645357426073003,416.1874084472656
75,1548.0,-0.0032433417696406002,384.53179931640625
76,1546.0,-0.003477167629171163,378.3777770996094
77,1777.0,-0.003284394196400951,487.0663757324219
78,1495.0,-0.0029434232669050936,347.49945068359375
79,1548.0,-0.0032636381916485596,409.3850402832031
80,1485.0,-0.0031023159005729084,344.4653625488281
81,1732.0,-0.0038620961443354774,455.1396484375
82,1544.0,-0.004508757317255784,416.89324951171875
83,1677.0,-0.004260686786437873,473.66339111328125
84,1624.0,-0.003666418743835363,440.7735290527344
85,1687.0,-0.004082960893616213,404.878173828125
86,1480.0,-0.003990681679819578,357.19769287109375
87,1266.0,-0.003360053449536541,409.4564208984375
88,1300.0,-0.004167902031830246,341.6719665527344
89,1651.0,-0.0038293705937186523,453.8251037597656
90,1630.0,-0.00440029427824941,460.5016174316406
91,1228.0,-0.003633027520014106,288.8716125488281
92,1530.0,-0.004281677390931041,375.70367431640625
93,1776.0,-0.003257377327827271,433.4132080078125
94,1520.0,-0.003382832668389061,312.0820007324219
95,1632.0,-0.0029504162303055637,410.5367431640625
96,1399.0,-0.0033364222098108648,321.2443542480469
97,1563.0,-0.003648640329109704,401.67620849609375
98,1545.0,-0.0037782834281512934,366.11328125
99,1542.0,-0.003018268339344234,475.03424072265625
100,1541.0,-0.003488066296475673,428.8371887207031
101,1459.0,-0.0038176351081347093,326.99481201171875
102,1563.0,-0.003538905657478608,408.2228088378906
103,1630.0,-0.003275662346693155,388.23175048828125
104,1497.0,-0.003336099097006289,399.15557861328125
105,1629.0,-0.003641355919951041,485.5254821777344
106,1478.0,-0.002838964476333266,367.5846252441406
107,1519.0,-0.003916995347286242,441.13800048828125
108,1530.0,-0.0033733102786105257,345.02471923828125
109,1878.0,-0.0029025153188350877,506.626708984375
110,1465.0,-0.0024898905747769667,331.71893310546875
111,1441.0,-0.0032403454523383906,324.5151672363281
112,1614.0,-0.0035261672663701965,508.7678527832031
113,1730.0,-0.0029739875254953013,447.05712890625
114,1528.0,-0.0030381027640292552,367.167236328125
115,1450.0,-0.0035306445695044075,420.9686584472656
116,1690.0,-0.0027647748606146444,426.3938293457031
117,1504.0,-0.003308871539567398,389.37054443359375
118,1297.0,-0.00352267125916634,327.62615966796875
119,1590.0,-0.002994997203391644,356.5956726074219
120,1669.0,-0.0029173342346829096,411.44976806640625
121,1592.0,-0.003087587896776053,424.170166015625
122,1576.0,-0.0029683364659181927,407.2169189453125
123,1664.0,-0.003324048737080635,421.77142333984375
124,1547.0,-0.003185810121067334,425.03277587890625
125,1576.0,-0.0028314414199225473,402.0898742675781
126,1615.0,-0.003354008780401533,409.98651123046875
127,1566.0,-0.0029930941195094158,330.9176330566406
128,1751.0,-0.002950537798044804,420.2437438964844
129,1604.0,-0.0029609462404291014,381.8970947265625
130,1485.0,-0.0038693690252590124,329.5869140625
131,1485.0,-0.004374634514013971,360.1009521484375
132,1661.0,-0.0026377360378059427,395.05303955078125
133,1658.0,-0.0031372488125011194,334.4922180175781
134,1419.0,-0.003325147107326692,339.3403625488281
135,1552.0,-0.0032512741392045946,365.9241638183594
136,1598.0,-0.0031955297495837192,400.828125
137,1504.0,-0.0030349905552741674,344.48193359375
138,1575.0,-0.003389891502073234,383.1357727050781
139,1644.0,-0.003442663405231932,379.689453125
140,1603.0,-0.003581130021692453,403.0877380371094
141,1476.0,-0.0029259050955131117,331.1661071777344
142,1655.0,-0.0027734432223951444,362.1141052246094
143,1635.0,-0.0037317825055132353,402.2607116699219
144,1632.0,-0.0034938085861670387,478.8514709472656
145,1804.0,-0.0031771806097822264,476.80084228515625
146,1560.0,-0.0021612914029641877,384.96209716796875
147,1513.0,-0.0029765195109316017,337.51507568359375
148,1625.0,-0.002583461957068981,396.4119567871094
149,1885.0,-0.002702439258947769,544.4595947265625
150,1435.0,-0.0027661563778695252,321.1888732910156
151,1549.0,-0.003015435957682452,376.8796081542969
152,1479.0,-0.003043533687429902,343.83489990234375
153,1503.0,-0.0028832848391695215,354.076416015625
154,1495.0,-0.003867685268882529,408.8118896484375
155,1451.0,-0.002635192121878,393.4622802734375
156,1519.0,-0.002876630431273952,351.5621032714844
157,1956.0,-0.0030390918816140455,580.084228515625
158,1408.0,-0.0027813863167206626,370.94091796875
159,1528.0,-0.0031525528122853886,359.94268798828125
160,1533.0,-0.0031200119098814738,340.80718994140625
161,1685.0,-0.002880862219691543,376.2217712402344
162,1524.0,-0.0029148955654818565,407.7013854980469
163,1592.0,-0.0024902069983779385,355.7587585449219
164,1506.0,-0.0031968324307984275,340.950927734375
165,1416.0,-0.003373111485936014,335.6990051269531
166,1398.0,-0.004012557376492103,290.8604431152344
167,1593.0,-0.0028246865305326147,410.7779846191406
168,1644.0,-0.0030598463106019025,390.5357666015625
169,1740.0,-0.00288731476601762,443.0787353515625
170,1722.0,-0.0030695418193187963,386.79156494140625
171,1589.0,-0.0030583175108144394,354.1422119140625
172,1539.0,-0.003561304002817321,389.0469055175781
173,1873.0,-0.003969827923616062,431.371826171875
174,1792.0,-0.0040870917696988075,408.9856262207031
175,1565.0,-0.002703244305199145,348.0603332519531
176,1511.0,-0.0034129071786342786,391.0634765625
177,1761.0,-0.00315473264864912,444.85186767578125
178,1545.0,-0.003531645628494776,402.1430358886719
179,1760.0,-0.004144273393259417,367.5282287597656
180,1722.0,-0.003035955071806841,428.8828125
181,1679.0,-0.0031951419639101785,386.8985290527344
182,1266.0,-0.003246410187525076,349.7170104980469
183,1706.0,-0.003751456142968631,455.70941162109375
184,1247.0,-0.003962949954646839,299.76129150390625
185,1525.0,-0.0037972738251223098,305.657958984375
186,1923.0,-0.002775682135377013,516.8679809570312
187,1688.0,-0.003323707906279846,394.9928894042969
188,1715.0,-0.002984163136196522,400.7178039550781
189,1462.0,-0.003349477845144325,363.3081359863281
190,1529.0,-0.003501126367025011,395.75384521484375
191,1883.0,-0.0036189250469241025,458.909423828125
192,1305.0,-0.003069326750327101,283.6772155761719
193,1539.0,-0.0031631305215082,356.8503723144531
194,1734.0,-0.003716615926740425,425.11822509765625
195,1362.0,-0.0036280564880663796,390.9772644042969
196,1494.0,-0.003828356035228353,320.3785705566406
197,1597.0,-0.0037371740742985693,387.95062255859375
198,1695.0,-0.003720553533639759,389.1361999511719
199,1629.0,-0.0032760735942117336,408.418212890625
200,1696.0,-0.0030114164141455796,414.30157470703125
201,1667.0,-0.0029111578052314663,457.7209777832031
202,1625.0,-0.003623933950231211,451.4817810058594
203,1670.0,-0.0035587850351086153,365.3591003417969
204,1503.0,-0.002931072516990493,305.5147399902344
205,1449.0,-0.0028232556006904425,352.5648498535156
206,1553.0,-0.003502916652775769,454.5229797363281
207,1496.0,-0.0031821373288819033,343.9630432128906
208,1788.0,-0.003132612399765224,446.3501281738281
209,1690.0,-0.003516590393181624,399.4805908203125
210,1785.0,-0.002762022521242865,406.9789733886719
211,1684.0,-0.003284519153177306,391.0853271484375
212,1844.0,-0.0028413609647291844,441.09503173828125
213,1721.0,-0.002576341775108761,404.2041931152344
214,1693.0,-0.003062650393465966,408.9058837890625
215,1623.0,-0.00288132451428932,351.4555969238281
216,1717.0,-0.0025455277250979896,434.1566467285156
217,1688.0,-0.003067634444700421,431.9937438964844
218,1539.0,-0.0028784217200674383,352.1654968261719
219,1796.0,-0.003407722064626536,396.85260009765625
220,1869.0,-0.0028405806203539085,471.276123046875
221,1518.0,-0.002650260104149181,301.5888977050781
222,1784.0,-0.003049579396507137,417.87213134765625
223,1476.0,-0.003190493508425009,384.0791015625
224,1579.0,-0.0029215071928254993,361.52716064453125
225,1510.0,-0.00304275599670031,386.5685729980469
226,1416.0,-0.0028701346782327164,355.12799072265625
227,1578.0,-0.003566844127947531,325.9665222167969
228,1736.0,-0.0033956423316599932,394.7750549316406
229,1531.0,-0.0030615237587231343,339.7246398925781
230,1499.0,-0.003137122995082921,358.1183166503906
231,1622.0,-0.0024163377888076604,404.07061767578125
232,1759.0,-0.003036641414967432,480.33648681640625
233,1575.0,-0.002873216003146289,415.1116638183594
234,1666.0,-0.0027872455635328413,402.82647705078125
235,1677.0,-0.0027693835046583054,384.3526306152344
236,1569.0,-0.0024437698365155874,330.4147644042969
237,1591.0,-0.0025669146052678116,332.1893005371094
238,1648.0,-0.002995392088320971,432.4893798828125
239,1524.0,-0.0025720245846189626,329.9476013183594
240,1747.0,-0.003496440566647964,398.43621826171875
241,1552.0,-0.002514948151136715,343.62261962890625
242,1404.0,-0.003068164407782855,377.43499755859375
243,1711.0,-0.004227674013756249,424.3938293457031
