episode,total_reward,actor_loss,critic_loss,consensus_rate,byzantine_detection_rate,false_positive_rate,avg_trust_score
67,-2217.0,-0.0060783072216768885,362.93743896484375,0.625,0.14,0.292,0.41285714285714287
68,-3237.0,-0.0071026686346158385,264.1603698730469,0.8,0.445,0.204,0.5685714285714287
69,-2318.0,-0.005703711402020417,251.8382568359375,0.67,0.2375,0.256,0.3471428571428573
70,-4189.0,-0.006044521892493192,326.08734130859375,0.725,0.4025,0.251,0.4014285714285714
71,-791.0,-0.007435598408587144,364.9936218261719,0.645,0.4525,0.194,0.5371428571428571
72,-817.0,-0.006170804703807724,397.9414367675781,0.725,0.3975,0.227,0.5085714285714287
73,-1785.0,-0.007323036610614508,329.3913879394531,0.66,0.27,0.231,0.5928571428571429
74,-3922.0,-0.0054964955363954815,286.3331604003906,0.735,0.2625,0.299,0.5114285714285715
75,-1044.0,-0.006869560340419412,272.5557556152344,0.8,0.2875,0.272,0.38
76,-4840.0,-0.005431199047182288,227.35243225097656,0.705,0.29,0.292,0.6157142857142858
77,-3319.0,-0.004930421859691185,260.0720520019531,0.685,0.31,0.252,0.4757142857142858
78,-1034.0,-0.0053059451477435815,288.26025390625,0.645,0.3225,0.243,0.5
79,-465.0,-0.0036593955259637107,296.8738708496094,0.78,0.4625,0.295,0.4928571428571429
80,-2367.0,-0.005642499184302453,297.94268798828125,0.715,0.3975,0.245,0.3514285714285715
81,-619.0,-0.004405275232524478,279.6874694824219,0.77,0.3675,0.304,0.3414285714285716
82,-2803.0,-0.004019364573261035,230.63780212402344,0.605,0.035,0.264,0.5185714285714288
83,-3262.0,-0.005667428930922013,263.90570068359375,0.675,0.3475,0.252,0.562857142857143
84,-2548.0,-0.0057952484972442365,236.71954345703125,0.745,0.365,0.206,0.6071428571428571
85,-1428.0,-0.005377486578903959,231.64947509765625,0.49,0.18,0.17,0.49142857142857144
86,-1653.0,-0.0037734678543139516,232.65879821777344,0.62,0.12,0.288,0.4928571428571429
87,-2432.0,-0.004542114188162876,351.38720703125,0.58,0.125,0.306,0.4328571428571429
88,-1605.0,-0.005632355923548208,364.2939453125,0.635,0.105,0.278,0.435714285714286
89,-2387.0,-0.006013070443129566,211.20870971679688,0.76,0.1325,0.337,0.30285714285714294
90,-2870.0,-0.006684630046947859,292.8489990234375,0.65,0.1925,0.268,0.48285714285714293
91,-1120.0,-0.005290231721508982,204.22390747070312,0.665,0.12,0.326,0.2757142857142859
92,-3605.0,-0.006796236434768487,244.34066772460938,0.825,0.3275,0.318,0.4728571428571429
93,-3572.0,-0.006087236468114757,326.4520568847656,0.735,0.2975,0.271,0.572857142857143
94,-3008.0,-0.005349389778400239,330.3062744140625,0.77,0.3425,0.326,0.25142857142857145
95,-3612.0,-0.004717975823690982,257.591796875,0.65,0.1825,0.391,0.5500000000000002
96,-4669.0,-0.005717598234436342,254.22427368164062,0.825,0.425,0.307,0.3871428571428571
97,-1197.0,-0.004980447579457957,255.08836364746094,0.625,0.055,0.361,0.48857142857142855
98,-3521.0,-0.0020525169519325054,226.15733337402344,0.765,0.37,0.299,0.3914285714285716
99,-433.0,-0.002575626931502484,293.9570617675781,0.685,0.345,0.271,0.37857142857142856
100,-3006.0,-0.0022475768491858616,274.6781005859375,0.76,0.47,0.246,0.5185714285714286
101,-2819.0,-0.0018597683873459963,246.8080596923828,0.76,0.285,0.283,0.4957142857142857
102,-2966.0,-0.0014264507221274211,292.411376953125,0.62,0.0625,0.397,0.4600000000000001
103,-3305.0,-0.0028272862047223108,272.7803955078125,0.75,0.4625,0.27,0.5000000000000001
104,-2444.0,-0.0017841331240820832,260.1446228027344,0.865,0.4475,0.345,0.28714285714285737
105,-1072.0,-0.0026638820438945133,249.87928771972656,0.82,0.4175,0.252,0.49857142857142867
106,-2163.0,0.001969992361929534,312.67327880859375,0.575,0.075,0.308,0.6714285714285716
107,-2764.0,-0.00016154609329532832,249.78404235839844,0.64,0.2075,0.279,0.6085714285714287
108,-2492.0,-0.00045380761106831154,268.2989501953125,0.685,0.0625,0.39,0.48857142857142855
109,-1366.0,-0.0024393248500668313,334.07012939453125,0.835,0.1925,0.353,0.36714285714285716
110,-3227.0,-0.002310754542122595,265.29229736328125,0.66,0.2875,0.308,0.3642857142857145
111,-1795.0,-0.0025626350231634986,319.6406555175781,0.735,0.22,0.308,0.4857142857142857
112,-1439.0,-0.00374055295625502,211.9826202392578,0.67,0.27,0.357,0.5571428571428573
113,-3896.0,0.0017683810167779615,315.5371398925781,0.71,0.2125,0.288,0.7185714285714287
114,-3610.0,0.00022873179529727037,224.82833862304688,0.735,0.33,0.243,0.5900000000000001
115,-463.0,-5.7465084994743976e-05,233.30230712890625,0.605,0.2075,0.265,0.5057142857142859
116,-3054.0,-0.004061466854182072,285.1585693359375,0.88,0.385,0.31,0.39142857142857146
117,-1343.0,-0.000306057754122386,315.2220458984375,0.54,0.06,0.285,0.5442857142857144
118,-1230.0,-0.0022750714228355457,326.1108093261719,0.645,0.2475,0.306,0.37714285714285717
119,-250.0,0.002910162112259838,302.2431945800781,0.55,0.1125,0.269,0.4928571428571429
120,-887.0,0.0067326244814986625,259.49395751953125,0.775,0.175,0.314,0.24428571428571427
121,-2856.0,0.006926100904820487,295.04376220703125,0.445,0.0275,0.31,0.61
122,-1479.0,0.009109050559345633,261.51556396484375,0.585,0.0325,0.341,0.5
123,-234.0,0.00638109770495378,352.0205993652344,0.72,0.0975,0.298,0.37142857142857155
124,-1054.0,0.009504320623818785,357.9129638671875,0.895,0.245,0.299,0.38
125,-2322.0,0.006461573032928365,287.5277404785156,0.62,0.0175,0.399,0.49142857142857144
126,-2003.0,0.00834531762770244,306.3079528808594,0.67,0.0925,0.403,0.48714285714285716
127,-1519.0,0.008498770446749404,336.0550537109375,0.575,0.1425,0.249,0.4442857142857145
128,-1150.0,0.008507629694317334,273.4689636230469,0.48,0.055,0.255,0.29714285714285715
129,-2534.0,0.006735261989108819,313.023193359375,0.61,0.125,0.316,0.25714285714285723
130,-1425.0,-0.000303247756424493,314.8363342285156,0.775,0.2225,0.365,0.25428571428571434
131,-1563.0,-0.0013098212366458029,438.46124267578125,0.745,0.2625,0.312,0.24428571428571447
132,-2809.0,-0.0022400667969902444,357.77923583984375,0.57,0.345,0.299,0.40142857142857163
133,-1651.0,-0.001695063712499437,390.7782897949219,0.64,0.2875,0.312,0.31714285714285717
134,-1253.0,-0.0005230592879732805,249.29872131347656,0.6,0.025,0.37,0.46857142857142886
135,-2929.0,-0.0027400666544313674,297.7305603027344,0.72,0.1425,0.307,0.3828571428571429
136,-1180.0,-0.0016746627807151526,317.6483154296875,0.615,0.1475,0.307,0.3
137,-3267.0,-0.003605381447414402,363.4397277832031,0.65,0.26,0.299,0.2885714285714287
138,-1633.0,-0.0013996944970650865,184.4371795654297,0.7,0.235,0.399,0.2814285714285715
139,-3164.0,0.0014264666148976954,240.91519165039062,0.535,0.06,0.392,0.36
140,-1330.0,-0.0009577694852071415,319.05596923828125,0.625,0.15,0.377,0.3742857142857143
141,-3917.0,0.002113737423704671,283.25457763671875,0.77,0.2725,0.34,0.3771428571428572
142,-2637.0,0.009397851384294751,229.9500274658203,0.565,0.16,0.345,0.39714285714285713
143,-1832.0,0.0011537595284088248,380.267578125,0.775,0.095,0.391,0.31000000000000005
144,-5191.0,0.015501510767665292,303.7037658691406,0.69,0.42,0.321,0.3457142857142857
145,-3596.0,0.010288823358548273,274.3055114746094,0.675,0.145,0.316,0.5957142857142858
146,-1336.0,0.008834065713537191,313.3651123046875,0.805,0.29,0.315,0.35571428571428576
147,-1772.0,0.002898683201887512,295.7403259277344,0.715,0.1175,0.352,0.51
148,-5470.0,0.017529443151683415,288.5020751953125,0.86,0.41,0.365,0.24428571428571436
149,-3860.0,0.0307923963939954,253.4126434326172,0.81,0.42,0.289,0.4171428571428572
150,-2606.0,0.016065765022566274,318.9109191894531,0.675,0.265,0.367,0.5257142857142859
151,-1667.0,0.011512887035288648,267.5172119140625,0.77,0.2225,0.375,0.3314285714285717
152,-3166.0,0.00992507599169455,338.9997253417969,0.705,0.2,0.303,0.27999999999999997
153,-2344.0,0.011944930112804286,266.24200439453125,0.525,0.0525,0.348,0.5457142857142857
154,-1497.0,0.008272385075023132,393.47528076171875,0.57,0.0425,0.33,0.3328571428571429
155,-1921.0,0.010728525549763748,389.0474548339844,0.58,0.1375,0.307,0.3928571428571429
156,-2639.0,0.007429654620604457,282.8628234863281,0.73,0.355,0.297,0.45000000000000007
157,-3213.0,0.00637908120656253,293.2083435058594,0.6,0.1925,0.285,0.42142857142857165
158,-2318.0,0.0018231649363380192,261.3218994140625,0.72,0.24,0.274,0.34142857142857147
159,-3438.0,0.005250515073255103,318.04345703125,0.66,0.155,0.315,0.5214285714285716
160,-2359.0,0.004548393445605013,316.2508850097656,0.68,0.14,0.371,0.44142857142857156
161,-554.0,0.002452521506971347,392.4080810546875,0.655,0.1925,0.28,0.4714285714285716
162,-2788.0,0.001972460013348609,331.05364990234375,0.66,0.3075,0.34,0.3242857142857144
163,-2818.0,0.010736375827296538,270.80316162109375,0.625,0.0625,0.299,0.562857142857143
164,-622.0,0.013630655203347228,302.2597351074219,0.505,0.1125,0.26,0.3814285714285715
165,-1911.0,0.009874915084635307,361.8091125488281,0.64,0.0825,0.381,0.48857142857142855
166,-848.0,0.025183436468068976,321.7636413574219,0.47,0.0775,0.41,0.4057142857142857
167,-2433.0,0.034134619865134094,342.86981201171875,0.595,0.05,0.417,0.37
168,-1014.0,0.017950847212757384,388.9827880859375,0.58,0.065,0.373,0.38571428571428573
169,-2763.0,0.025863268434477504,387.78643798828125,0.68,0.3675,0.211,0.542857142857143
170,-2549.0,0.024148564077872185,326.0504455566406,0.55,0.105,0.398,0.44142857142857145
171,-1773.0,0.02028324903325743,230.8475799560547,0.785,0.105,0.308,0.36285714285714293
172,-2319.0,0.014085156385720308,294.8917541503906,0.645,0.0725,0.347,0.48857142857142855
173,-3293.0,0.024225958976395696,262.7575378417969,0.575,0.0925,0.353,0.552857142857143
174,-3240.0,0.02339710609625659,271.6077880859375,0.63,0.1625,0.339,0.26142857142857145
175,-3090.0,0.010709264914372138,229.0038604736328,0.79,0.3225,0.329,0.19000000000000014
176,-709.0,0.021873794792294836,277.55133056640625,0.755,0.1175,0.314,0.2271428571428575
177,-3404.0,0.0170317893212736,302.8577575683594,0.635,0.145,0.347,0.2671428571428572
178,-3647.0,0.019693781773509857,281.98834228515625,0.615,0.095,0.444,0.3985714285714286
179,-2538.0,0.00024817756950921776,303.9010314941406,0.695,0.245,0.294,0.28
180,-1911.0,0.032748056752357764,270.1520080566406,0.73,0.235,0.318,0.4614285714285716
181,-3041.0,0.018510398279301756,299.5236511230469,0.795,0.15,0.436,0.25
182,-2810.0,0.03528044829623208,284.83935546875,0.68,0.0425,0.424,0.6128571428571429
183,-1800.0,0.023315226975163177,397.08135986328125,0.605,0.015,0.286,0.6157142857142858
184,-2032.0,0.022344870311956453,329.7151794433594,0.63,0.065,0.399,0.6128571428571429
185,-4061.0,0.016307468112375188,297.4232177734375,0.735,0.11,0.422,0.24285714285714288
186,-2091.0,0.031083147922929908,363.87353515625,0.63,0.22,0.323,0.2828571428571429
187,-1511.0,0.04653307944889613,324.4565124511719,0.49,0.1225,0.355,0.3785714285714286
188,-609.0,0.033620151349168736,381.16552734375,0.575,0.09,0.368,0.3628571428571429
189,-2379.0,0.02696572272283707,274.2007751464844,0.61,0.0625,0.392,0.4171428571428573
190,-1779.0,0.025311001171108467,430.97607421875,0.545,0.005,0.401,0.4900000000000001
191,-3206.0,0.02276124102978169,353.8431091308594,0.655,0.0175,0.411,0.37
192,-2004.0,0.03357392332847147,286.983154296875,0.69,0.05,0.358,0.36571428571428577
193,-2233.0,0.025904627643675276,385.0275573730469,0.595,0.12,0.376,0.2485714285714287
194,-2405.0,0.019613418582594022,393.6808776855469,0.57,0.0675,0.384,0.49285714285714316
195,-2836.0,0.03775370840022723,289.74615478515625,0.62,0.2225,0.303,0.4200000000000002
196,-1111.0,0.026594906183683115,378.5140075683594,0.635,0.0875,0.322,0.2557142857142859
197,-1122.0,0.025248210091376677,338.2984313964844,0.645,0.22,0.372,0.3771428571428572
198,-555.0,0.020318690697812208,248.95712280273438,0.565,0.0875,0.326,0.4028571428571429
199,-1882.0,0.015293962577873441,346.8536682128906,0.62,0.0925,0.36,0.51
200,-999.0,0.0009745993146290337,308.3739929199219,0.93,0.15,0.354,0.3685714285714286
201,-1260.0,0.026086563682058892,310.1471862792969,0.68,0.025,0.382,0.47714285714285715
202,-1804.0,0.023642571351956576,323.50579833984375,0.605,0.045,0.349,0.45857142857142863
203,-2946.0,0.023600404972967226,396.02642822265625,0.59,0.0175,0.32,0.5200000000000001
204,-2314.0,0.02811221969750477,434.4040832519531,0.435,0.005,0.441,0.5614285714285715
205,-1609.0,0.026268502507134275,388.927490234375,0.66,0.16,0.353,0.12142857142857143
206,-1689.0,0.017443707700294908,342.7095947265625,0.51,0.0175,0.304,0.5571428571428573
207,-3324.0,0.020636679804218665,336.5445251464844,0.565,0.015,0.341,0.44571428571428573
208,-2723.0,0.04650102620715708,333.49932861328125,0.55,0.1375,0.337,0.40285714285714286
209,-1654.0,0.015100304166220926,372.12017822265625,0.54,0.0425,0.352,0.38571428571428584
210,-3233.0,0.008837182064391007,281.8572082519531,0.72,0.175,0.424,0.26571428571428574
211,-3344.0,0.017001664000937517,326.4161071777344,0.555,0.0275,0.438,0.6157142857142858
212,-3479.0,0.02267470902630261,307.8464660644531,0.56,0.0525,0.396,0.3828571428571429
213,-2697.0,0.01636972900035159,457.4964904785156,0.625,0.055,0.369,0.3857142857142857
214,-3120.0,0.009785503174498444,344.7268981933594,0.49,0.015,0.371,0.36428571428571427
215,-3257.0,0.01763626352580364,279.8717041015625,0.635,0.035,0.36,0.5014285714285714
216,-1014.0,0.046088241235078646,378.83209228515625,0.59,0.17,0.349,0.40857142857142864
217,-4032.0,0.027849332026172697,328.116943359375,0.715,0.14,0.403,0.27285714285714285
218,-3109.0,0.01041289526827833,275.1996765136719,0.585,0.305,0.272,0.5942857142857142
219,-2567.0,0.04665867933986841,300.9105529785156,0.67,0.13,0.375,0.38285714285714284
220,-4048.0,0.03206746850212637,293.4717712402344,0.7,0.0475,0.394,0.25999999999999995
221,-3480.0,0.04299090805060197,498.4803771972656,0.56,0.0,0.496,0.5771428571428573
222,-1568.0,0.03444221116452744,286.5175476074219,0.62,0.0275,0.38,0.49714285714285705
223,-1724.0,0.03709089497299699,245.39561462402344,0.755,0.0325,0.452,0.4885714285714286
224,-3011.0,0.012507729115895927,292.5596923828125,0.685,0.055,0.416,0.3971428571428573
225,-1893.0,0.040307875019997094,300.5845642089844,0.545,0.04,0.315,0.42714285714285716
226,-1400.0,0.00887095969665097,344.3692626953125,0.75,0.0475,0.382,0.4328571428571429
227,-723.0,0.01146313059559491,345.0383605957031,0.465,0.14,0.356,0.3271428571428571
228,-3469.0,0.014524920537431691,351.12017822265625,0.575,0.0325,0.383,0.5757142857142858
229,-2202.0,0.027395378301402422,554.3321533203125,0.675,0.1825,0.39,0.2885714285714286
230,121.0,0.01272231960319914,385.5813293457031,0.69,0.1525,0.311,0.23714285714285716
231,-945.0,0.007954082732404848,306.83807373046875,0.665,0.0475,0.445,0.26285714285714284
232,839.0,0.009541187671337477,467.0806884765625,0.715,0.22,0.255,0.5057142857142858
233,-3289.0,0.02531218793644387,336.46148681640625,0.525,0.015,0.379,0.62
234,-3003.0,0.01697783251542465,478.9895935058594,0.595,0.09,0.411,0.39142857142857146
235,-2988.0,0.025909156534388394,382.185302734375,0.815,0.08,0.412,0.2542857142857143
236,26.0,0.018451229675390226,456.5892028808594,0.575,0.015,0.217,0.7457142857142858
237,-2302.0,0.03529300870078649,326.7937927246094,0.805,0.085,0.437,0.3814285714285714
238,-2468.0,0.0204765391629605,374.91632080078125,0.48,0.0225,0.443,0.5057142857142859
239,-2021.0,0.01567671419200321,403.7390441894531,0.635,0.0225,0.367,0.6157142857142858
240,-1664.0,0.011549946405076688,356.509521484375,0.68,0.0325,0.422,0.25
241,-3243.0,0.009287810249848658,306.60498046875,0.605,0.065,0.405,0.38571428571428595
242,-2364.0,0.015361994844819751,334.18353271484375,0.53,0.065,0.419,0.4742857142857143
243,-3220.0,0.00806229147461376,283.1742248535156,0.64,0.0225,0.443,0.5742857142857142
244,-1601.0,0.016199191027096407,302.4181213378906,0.805,0.1375,0.436,0.12714285714285714
245,-2435.0,0.008484465503508025,377.8299255371094,0.565,0.0,0.4,0.6214285714285713
246,-1875.0,0.015403618223250046,384.0190734863281,0.685,0.04,0.431,0.3942857142857144
247,-1689.0,0.015159458748322712,312.7737731933594,0.565,0.03,0.425,0.38
248,-2544.0,0.0189632014568945,344.7115173339844,0.63,0.0425,0.321,0.45428571428571446
249,-2068.0,0.019689876515518075,521.9014892578125,0.525,0.01,0.436,0.35714285714285715
250,-2575.0,-0.0015461643976907777,393.572021484375,0.75,0.1475,0.404,0.25
251,-2304.0,0.02255512939154869,348.1907653808594,0.845,0.1425,0.378,0.2485714285714286
252,-3229.0,0.01682030430726757,355.06915283203125,0.66,0.04,0.399,0.4142857142857143
253,-1509.0,0.016405049719781215,271.991455078125,0.675,0.055,0.393,0.49714285714285716
254,-947.0,-0.0038169024909231147,348.8130187988281,0.82,0.075,0.45,0.13
255,-1498.0,0.009285685674902717,281.108642578125,0.79,0.085,0.382,0.48857142857142855
256,-123.0,0.025750142976383877,297.2131042480469,0.68,0.13,0.325,0.4314285714285715
257,-526.0,0.014625713580504194,353.54754638671875,0.775,0.15,0.242,0.5742857142857145
258,-708.0,0.012942350995477423,345.9559020996094,0.745,0.1025,0.366,0.4057142857142858
259,-1757.0,0.025878822620143183,246.80276489257812,0.805,0.1275,0.354,0.23142857142857146
260,-4162.0,0.009322347978013568,316.40423583984375,0.7,0.1,0.411,0.3057142857142857
261,-1069.0,0.022511653923304818,310.50994873046875,0.675,0.055,0.343,0.24428571428571427
262,-2289.0,0.02383217536095929,248.68994140625,0.73,0.11,0.428,0.36571428571428577
263,-2876.0,0.03128959786616698,313.1354675292969,0.765,0.16,0.349,0.18285714285714308
264,-1031.0,0.05191115635690429,337.93084716796875,0.48,0.0425,0.346,0.3342857142857145
265,-1758.0,0.04581985858177567,304.93585205078125,0.575,0.0175,0.365,0.4271428571428572
266,-2228.0,0.034168933531743405,227.20826721191406,0.765,0.1275,0.316,0.3685714285714287
267,-2386.0,0.03191884118548062,434.13055419921875,0.65,0.07,0.389,0.4642857142857147
268,-2324.0,0.03791694614587219,323.96685791015625,0.645,0.04,0.365,0.49714285714285716
269,-2056.0,0.04386809444882341,305.4161682128906,0.625,0.0525,0.39,0.4328571428571431
270,-862.0,0.032759195263289645,355.6239318847656,0.605,0.05,0.364,0.48857142857142855
271,-1341.0,0.03851866613695165,396.39373779296875,0.685,0.0575,0.389,0.25857142857142856
272,-899.0,0.05454516241973449,275.36004638671875,0.69,0.08,0.372,0.5014285714285714
273,-1948.0,0.03306823015632939,327.5270690917969,0.8,0.095,0.36,0.11142857142857143
274,-2392.0,0.06627415288572333,291.9942626953125,0.665,0.02,0.397,0.49142857142857144
275,-2678.0,0.06729126335579037,312.5518798828125,0.59,0.03,0.44,0.62
276,-2393.0,0.06575731932597202,331.0818176269531,0.67,0.1,0.356,0.4957142857142857
277,-1612.0,0.0721285254902406,408.4122619628906,0.645,0.045,0.428,0.6114285714285714
278,-2043.0,0.06402662122439194,323.6510925292969,0.7,0.0275,0.493,0.2742857142857143
279,-2154.0,0.09261067347220628,333.9032287597656,0.685,0.065,0.401,0.4928571428571429
280,-2455.0,0.07894843186243504,433.5138244628906,0.685,0.09,0.422,0.37000000000000016
281,-1038.0,0.06596061835599747,302.2225036621094,0.785,0.0975,0.36,0.4928571428571428
282,-1903.0,0.08532406071026344,361.3955383300781,0.635,0.0925,0.439,0.3185714285714286
283,-3228.0,0.07942765677892437,342.23712158203125,0.58,0.05,0.312,0.6171428571428572
284,-3130.0,0.0477176593599974,319.6021423339844,0.585,0.02,0.359,0.35571428571428576
285,-1484.0,0.06925552901312974,364.7469482421875,0.73,0.01,0.432,0.5514285714285715
286,-2842.0,0.044620330859158584,378.60723876953125,0.66,0.0375,0.41,0.6214285714285716
287,-3028.0,0.04909439011680661,343.05126953125,0.56,0.045,0.368,0.3471428571428571
288,395.0,0.06516166149335081,259.7138366699219,0.81,0.1025,0.362,0.22142857142857153
289,-1885.0,0.08747284695190112,495.68267822265625,0.665,0.0375,0.386,0.4014285714285715
290,-1506.0,0.11261763407882038,346.1294250488281,0.72,0.095,0.394,0.23000000000000004
291,-1724.0,0.11549665225071035,390.0088806152344,0.745,0.11,0.407,0.2485714285714286
292,-1237.0,0.07763444892978962,303.24810791015625,0.665,0.0975,0.412,0.2557142857142857
293,-2116.0,0.07165126002031943,322.77996826171875,0.565,0.0125,0.413,0.62
294,-1099.0,0.0448106603258306,305.3604736328125,0.585,0.0325,0.386,0.4942857142857143
295,-2325.0,0.055880450672702864,351.50091552734375,0.61,0.0225,0.43,0.3200000000000003
296,-2033.0,0.08604988619897215,347.2814025878906,0.745,0.1075,0.392,0.26142857142857145
297,-2459.0,0.05661670909674805,395.1715087890625,0.58,0.04,0.366,0.3814285714285714
298,-1692.0,0.07187572623141543,288.1111755371094,0.65,0.02,0.463,0.44571428571428573
299,-2371.0,0.05244322061272604,302.0886535644531,0.655,0.1,0.34,0.30142857142857155
